Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

12:01:51 AM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:05:37 AM IST  all   11.75    0.00    5.54    0.09    0.00    1.45    0.00    0.00    0.00   81.18
12:05:38 AM IST  all   12.57    0.00    4.93    0.08    0.00    1.70    0.00    0.00    0.00   80.71
12:05:39 AM IST  all   12.76    0.00    5.41    0.08    0.00    1.44    0.00    0.00    0.00   80.30
12:05:40 AM IST  all   12.96    0.00    4.83    0.08    0.00    1.69    0.00    0.00    0.00   80.44
12:05:41 AM IST  all   12.87    0.00    3.92    0.09    0.00    2.05    0.00    0.00    0.00   81.07
12:05:42 AM IST  all   12.60    0.00    4.09    0.17    0.00    2.13    0.00    0.00    0.00   81.02
12:05:43 AM IST  all   13.08    0.00    4.89    0.17    0.00    1.60    0.00    0.00    0.00   80.25
12:05:44 AM IST  all   13.27    0.00    4.73    0.08    0.00    1.94    0.00    0.00    0.00   79.97
12:05:45 AM IST  all   12.12    0.00    4.49    0.08    0.00    2.29    0.00    0.00    0.00   81.02
12:05:46 AM IST  all   13.16    0.00    4.82    0.09    0.00    1.63    0.00    0.00    0.00   80.31
12:05:47 AM IST  all   13.09    0.00    4.81    0.08    0.00    1.52    0.00    0.00    0.00   80.49
12:05:48 AM IST  all   12.85    0.00    4.37    0.09    0.00    1.37    0.00    0.00    0.00   81.32
12:05:49 AM IST  all   12.68    0.00    4.60    0.09    0.00    1.53    0.00    0.00    0.00   81.11
12:05:50 AM IST  all   12.33    0.00    5.36    0.09    0.00    1.70    0.00    0.00    0.00   80.53
12:05:51 AM IST  all   12.81    0.00    4.83    0.08    0.00    1.53    0.00    0.00    0.00   80.75
12:05:52 AM IST  all   12.81    0.00    4.70    0.09    0.00    1.45    0.00    0.00    0.00   80.96
12:05:53 AM IST  all   13.25    0.00    3.76    0.17    0.00    1.37    0.00    0.00    0.00   81.45
12:05:54 AM IST  all   12.51    0.00    4.77    0.17    0.00    1.62    0.00    0.00    0.00   80.94
12:05:55 AM IST  all   12.80    0.00    4.66    0.00    0.00    1.78    0.00    0.00    0.00   80.76
12:05:56 AM IST  all   12.80    0.00    4.78    0.09    0.00    1.62    0.00    0.00    0.00   80.72
12:05:57 AM IST  all   14.06    0.00    4.46    0.08    0.00    1.52    0.00    0.00    0.00   79.88
12:05:58 AM IST  all   13.91    0.00    3.90    0.08    0.00    1.53    0.00    0.00    0.00   80.58
12:05:59 AM IST  all   11.65    0.00    5.02    0.17    0.00    2.13    0.00    0.00    0.00   81.04
12:06:00 AM IST  all   12.87    0.00    5.08    0.08    0.00    1.44    0.00    0.00    0.00   80.52
12:06:01 AM IST  all   12.07    0.00    4.22    0.09    0.00    1.55    0.00    0.00    0.00   82.07
12:06:02 AM IST  all   12.14    0.00    5.35    0.08    0.00    1.78    0.00    0.00    0.00   80.65
12:06:03 AM IST  all   13.39    0.00    4.83    0.08    0.00    1.44    0.00    0.00    0.00   80.25
